Country,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),DateTime
Indonesia,banda aceh,5.5577,95.3222,87.12,59,96,11.83,1660282166
Brazil,acarau,-2.8856,-40.12,75.85,87,62,12.86,1660282167
Australia,esperance,-33.8667,121.9,58.21,55,61,7.31,1660282169
Mauritius,mahebourg,-20.4081,57.7,71.89,64,40,17.27,1660282170
Cape Verde,ponta do sol,17.1994,-25.0919,76.78,82,61,11.27,1660282172
Australia,broken hill,-31.95,141.4333,56.26,58,50,19.51,1660282174
United States of America,barrow,71.2906,-156.7887,48.22,87,100,12.66,1660282175
French Polynesia,atuona,-9.8,-139.0333,77.02,71,44,22.68,1660282173
Kazakhstan,zhezkazgan,47.8043,67.7144,76.98,47,0,11.18,1660282178
China,yining,29.0361,114.5636,102.13,34,96,4.05,1660282179
Russian Federation,provideniya,64.3833,-173.3,50.36,93,100,11.18,1660282182
Cook Iislands,avarua,-21.2078,-159.775,75.25,83,20,11.5,1660282184
Ecuador,puerto ayora,-0.7393,-90.3518,67.55,100,100,1.99,1660282185
New Zealand,dunedin,-45.8742,170.5036,47.8,67,75,3.0,1660282187
Portugal,praia da vitoria,38.7333,-27.0667,71.85,94,20,9.42,1660282189
Australia,busselton,-33.65,115.3333,61.56,64,0,17.2,1660282190
United States of America,cody,44.5263,-109.0565,76.01,65,0,0.0,1660282192
Indonesia,bengkulu,-3.8004,102.2655,82.51,77,65,4.65,1660282193
South Africa,port elizabeth,-33.918,25.5701,58.32,91,0,8.99,1660282195
French Polynesia,rikitea,-23.1203,-134.9692,72.95,74,76,23.35,1660282196
Papua New Guinea,morehead,-8.7107,141.6367,85.66,55,93,8.3,1660282198
Russian Federation,khatanga,71.9667,102.5,54.72,49,97,9.06,1660282199
"Tanzania, United Republic of",namanyere,-7.5167,31.05,65.14,47,33,8.84,1660282201
Russian Federation,nikolskoye,59.7035,30.7861,69.87,73,57,6.89,1660282203
Australia,portland,-38.3333,141.6,52.88,82,93,6.44,1660282205
Russian Federation,tyrma,50.0833,132.1667,67.41,75,77,4.14,1660282206
Greenland,qaanaaq,77.484,-69.3632,35.56,73,98,9.37,1660282208
Australia,new norfolk,-42.7826,147.0587,56.71,74,88,1.66,1660282210
Somalia,garowe,8.4054,48.4845,80.96,49,84,27.31,1660282212
Philippines,sarangani,5.4033,125.4636,83.95,69,9,6.15,1660282214
United States of America,kapaa,22.0752,-159.319,82.38,82,75,16.11,1660282216
New Zealand,bluff,-46.6,168.3333,44.8,66,85,10.87,1660282218
Argentina,ushuaia,-54.8,-68.3,33.46,69,40,3.44,1660282220
Madagascar,ambilobe,-13.2,49.05,79.59,44,11,11.81,1660282222
Kiribati,butaritari,3.0707,172.7902,82.6,75,12,15.26,1660282223
Oman,salalah,17.0151,54.0924,77.09,100,100,5.75,1660282225
Russian Federation,dikson,73.5069,80.5464,47.19,80,93,27.6,1660282226
New Zealand,kaeo,-35.1,173.7833,55.33,61,11,8.34,1660282228
Canada,thompson,55.7435,-97.8558,64.56,77,20,5.75,1660282230
Mauritius,cap malheureux,-19.9842,57.6142,71.47,65,84,11.99,1660282232
Canada,gimli,50.6336,-96.9907,63.46,66,100,10.0,1660282182
United States of America,kodiak,57.79,-152.4072,56.71,72,100,11.5,1660282237
Chile,castro,-42.4721,-73.7732,49.48,96,100,13.8,1660282239
Australia,broome,-17.9667,122.2333,84.15,37,0,10.36,1660282240
Bolivia,santa rosa,-14.1667,-66.8833,63.1,58,0,2.42,1660282242
China,yumen,40.2833,97.2,92.62,23,83,19.73,1660282243
Canada,clyde river,70.4692,-68.5914,50.23,71,0,8.05,1660282245
Australia,albany,-35.0169,117.8917,61.27,57,1,11.74,1660282169
Australia,hobart,-42.8794,147.3294,57.06,73,75,8.05,1660282248
Ecuador,salinas,-2.2167,-80.9667,67.77,85,100,11.41,1660282249
Mexico,san jeronimo,29.3707,-110.79,87.78,84,94,5.73,1660282251
United States of America,hilo,19.7297,-155.09,79.29,86,100,6.91,1660282253
New Zealand,tuatapere,-46.1333,167.6833,44.58,80,84,4.92,1660282254
Ukraine,bohodukhiv,50.1647,35.5276,72.72,61,100,14.47,1660282257
Russian Federation,tiksi,71.6872,128.8694,40.69,79,100,8.08,1660282259
Canada,norman wells,65.282,-126.8329,62.64,48,20,5.75,1660282261
Malaysia,miri,4.4148,114.0089,93.34,66,40,9.22,1660282265
United States of America,morgantown,39.6295,-79.9559,64.38,97,0,4.61,1660282005
Russian Federation,leningradskiy,69.3833,178.4167,43.05,87,100,4.43,1660282268
Italy,maniago,46.1706,12.7078,70.07,82,75,10.36,1660282270
Réunion,saint-philippe,-21.3585,55.7679,72.99,79,83,16.24,1660282272
South Africa,hermanus,-34.4187,19.2345,50.81,89,100,15.12,1660282273
Russian Federation,yarkovo,57.4028,67.0786,64.08,61,81,10.45,1660282275
Canada,iqaluit,63.7506,-68.5145,40.73,86,20,2.3,1660282277
Canada,princeton,49.458,-120.5108,64.85,82,30,0.0,1660282217
Turkey,bulancak,40.9372,38.2291,78.62,69,75,6.91,1660282280
Australia,port lincoln,-34.7333,135.8667,56.17,71,23,19.35,1660282218
Sudan,marawi,18.4833,31.8167,91.54,43,65,14.23,1660282284
South Africa,bredasdorp,-34.5322,20.0403,51.96,93,100,9.57,1660282212
South Africa,port alfred,-33.5906,26.891,63.21,83,100,15.39,1660282235
Brazil,natal,-5.795,-35.2094,73.62,94,0,4.61,1660282168
Romania,podu iloaiei,47.2167,27.2667,64.72,71,91,10.11,1660282290
Indonesia,meulaboh,4.1363,96.1285,84.54,67,85,6.02,1660282292
Angola,saurimo,-9.6608,20.3916,60.82,30,34,6.51,1660282295
Niger,ouallam,14.3188,2.0866,79.75,65,100,7.9,1660282296
Portugal,lagoa,39.05,-27.9833,72.91,82,99,11.7,1660282299
Mauritius,grand gaube,-20.0064,57.6608,72.0,65,87,11.99,1660282301
Argentina,comodoro rivadavia,-45.8667,-67.5,48.06,61,0,4.61,1660282202
Australia,roma,-26.5833,148.7833,68.58,48,100,11.39,1660282304
Mali,gao,16.6362,1.637,80.11,59,86,9.82,1660282307
Mexico,puerto madero,14.7208,-92.4215,77.2,100,40,0.0,1660282308
United States of America,bethel,41.3712,-73.414,74.75,62,100,6.91,1660282119
China,aksu,41.1231,80.2644,75.22,58,100,11.36,1660282311
United Kingdom (Great Britain),strathpeffer,57.588,-4.5382,58.23,95,98,3.36,1660282313
Mali,araouane,18.9048,-3.5265,92.44,37,18,10.78,1660282315
Mexico,san buenaventura,27.0833,-101.5333,85.48,77,90,11.68,1660282316
Chile,coquimbo,-29.9533,-71.3436,53.33,76,100,0.0,1660282318
Thailand,pak thong chai,14.7226,102.0251,86.25,68,100,8.01,1660282320
Norway,vardo,70.3705,31.1107,51.78,71,100,23.02,1660282321
Canada,halifax,44.6453,-63.5724,66.52,94,95,4.0,1660282113
Brazil,caravelas,-17.7125,-39.2481,72.41,70,55,11.34,1660282324
Niger,bilma,18.6853,12.9164,89.01,20,25,16.06,1660282326
China,zunyi,27.6867,106.9072,85.69,58,55,8.61,1660282328
China,wanning,18.8003,110.3967,84.96,77,100,9.89,1660282329
Norway,mehamn,71.0357,27.8492,51.75,82,100,28.77,1660282331
China,yuancheng,36.652,107.7896,90.93,39,9,15.57,1660282333
Canada,slave lake,55.2834,-114.769,60.78,82,0,6.91,1660282334
Russian Federation,tilichiki,60.4667,166.1,56.5,80,63,8.63,1660282336
Saudi Arabia,sakakah,29.9697,40.2064,90.97,24,0,8.28,1660282338
Argentina,san rafael,-34.6177,-68.3301,49.95,46,4,7.23,1660282339
Iceland,grindavik,63.8424,-22.4338,49.95,100,75,8.05,1660282341
Japan,katsuura,35.1333,140.3,83.84,78,18,18.75,1660282342
Brazil,rodrigues alves,-7.738,-72.6509,69.28,87,8,0.25,1660282344
Australia,cairns,-16.9167,145.7667,82.06,61,53,13.8,1660282346
Greenland,upernavik,72.7868,-56.1549,41.47,87,78,10.31,1660282348
Canada,deep river,46.1001,-77.4995,53.94,73,5,4.76,1660282218
Japan,ishinomaki,38.4167,141.3,82.4,85,100,6.96,1660282351
Maldives,hithadhoo,-0.6,73.0833,83.01,74,62,13.89,1660282352
Tonga,vaini,-21.2,-175.2,75.36,78,20,14.97,1660282354
Colombia,manaure,11.7751,-72.4445,79.68,77,92,4.92,1660282355
Panama,la palma,8.4028,-78.1453,75.18,92,100,3.83,1660282357
Mauritius,bambous virieux,-20.3428,57.7575,71.85,64,40,17.27,1660282359
French Guiana,sinnamary,5.3833,-52.95,76.87,85,34,7.29,1660282360
South Africa,saldanha,-33.0117,17.9442,51.85,82,100,8.23,1660282362
Chile,tocopilla,-22.092,-70.1979,58.82,69,2,3.96,1660282105
Thailand,mae hong son,19.3003,97.9685,77.14,94,75,4.61,1660282366
Madagascar,ambanja,-13.6833,48.45,75.13,38,2,1.59,1660282368
Islamic Republic of Iran,alvand,36.3187,49.1678,75.33,36,11,9.8,1660282370
Brazil,laguna,-28.4825,-48.7808,57.97,85,95,4.54,1660282371
Netherlands,den helder,52.9599,4.7593,67.98,90,20,10.36,1660282375
Japan,ishigaki,24.3448,124.1572,93.33,62,75,9.22,1660282377
Brazil,sao sebastiao,-23.76,-45.4097,61.9,84,66,2.19,1660282379
Mauritius,quatre cocos,-20.2078,57.7625,71.71,68,91,20.11,1660282381
Somalia,odweyne,9.4092,45.064,73.33,58,99,25.99,1660282383
United States of America,kahului,20.8947,-156.47,80.62,70,0,14.97,1660282386
Sri Lanka,matara,5.9485,80.5353,85.75,66,54,14.29,1660282389
Mexico,nuevo ideal,24.8875,-105.0728,62.58,76,88,4.79,1660282205
Egypt,aswan,24.0934,32.907,90.7,22,0,5.75,1660282392
